--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
080.429  000.075  000.075: sourcing /usr/share/nvim/runtime/plugin/osc52.lua
080.447  000.123  000.048: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
080.694  000.208  000.208: sourcing /usr/share/nvim/runtime/plugin/rplugin.vim
080.701  000.245  000.037: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
080.849  000.102  000.102: sourcing /usr/share/nvim/runtime/plugin/shada.vim
080.856  000.140  000.038: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
080.938  000.029  000.029: sourcing /usr/share/nvim/runtime/plugin/spellfile.vim
080.943  000.078  000.049: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
081.413  000.139  000.139: require('core.options')
081.935  078.095  045.983: sourcing /home/collins/.config/nvim/init.lua
081.980  000.717: sourcing vimrc file(s)
082.292  000.102  000.102: sourcing /usr/share/nvim/runtime/filetype.lua
082.616  000.075  000.075: sourcing /usr/share/nvim/runtime/syntax/synload.vim
082.699  000.319  000.244: sourcing /usr/share/nvim/runtime/syntax/syntax.vim
082.716  000.314: inits 3
085.407  002.691: reading ShaDa
085.587  000.181: opening buffers
085.592  000.005: BufEnter autocommands
085.595  000.003: editing files in windows
085.617  000.022: --- NVIM STARTED ---

--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.146  000.146: event init
000.246  000.100: early init
000.295  000.048: locale set
000.342  000.047: init first window
000.888  000.547: inits 1
000.900  000.012: window checked
000.909  000.009: parsing arguments
001.860  000.048  000.048: require('vim.shared')
001.999  000.075  000.075: require('vim.inspect')
002.078  000.062  000.062: require('vim._options')
002.082  000.217  000.081: require('vim._editor')
002.084  000.338  000.073: require('vim._init_packages')
002.087  000.840: init lua interpreter
002.178  000.090: expanding arguments
002.208  000.030: inits 2
002.555  000.347: init highlight
002.571  000.016: clear screen
002.777  000.028  000.028: require('vim.keymap')
003.680  000.141  000.141: sourcing nvim_exec2()
003.791  001.216  001.047: require('vim._defaults')
003.793  000.006: init default mappings & autocommands
004.440  000.047  000.047: sourcing /usr/share/nvim/runtime/ftplugin.vim
004.502  000.027  000.027: sourcing /usr/share/nvim/runtime/indent.vim
004.636  000.086  000.086: sourcing /usr/share/nvim/archlinux.lua
004.640  000.112  000.026: sourcing /etc/xdg/nvim/sysinit.vim
005.803  000.819  000.819: require('lazy')
005.834  000.013  000.013: require('ffi')
005.879  000.022  000.022: require('vim.fs')
006.002  000.120  000.120: require('vim.uri')
006.016  000.179  000.037: require('vim.loader')
006.140  000.100  000.100: require('lazy.stats')
006.279  000.110  000.110: require('lazy.core.util')
006.389  000.107  000.107: require('lazy.core.config')
006.541  000.058  000.058: require('lazy.core.handler')
006.921  000.160  000.160: require('lazy.pkg')
006.926  000.283  000.123: require('lazy.core.meta')
006.934  000.391  000.108: require('lazy.core.plugin')
006.953  000.562  000.113: require('lazy.core.loader')
008.484  000.158  000.158: require('lazy.async')
008.807  000.169  000.169: require('lazy.manage.process')
008.967  000.157  000.157: require('lazy.terminal')
008.976  000.487  000.160: require('lazy.manage.task')
008.979  000.732  000.087: require('lazy.manage.runner')
008.984  000.843  000.112: require('lazy.manage')
008.989  000.979  000.136: require('lazy.view.commands')
009.180  000.159  000.159: require('lazy.core.fragments')
017.790  000.185  000.185: require('lazy.core.handler.event')
017.968  000.167  000.167: require('lazy.core.handler.keys')
018.098  000.124  000.124: require('lazy.core.handler.ft')
018.414  000.310  000.310: require('lazy.core.handler.cmd')
018.839  000.011  000.011: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
018.877  000.003  000.003: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
019.012  000.006  000.006: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
019.040  000.002  000.002: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
019.067  000.003  000.003: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
019.084  000.002  000.002: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
019.173  000.004  000.004: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
019.194  000.002  000.002: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
019.397  000.004  000.004: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
019.416  000.001  000.001: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
019.456  000.002  000.002: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
019.620  000.085  000.085: sourcing /home/collins/.local/share/nvim/lazy/go.nvim/ftdetect/filetype.vim
019.626  000.129  000.044: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
019.633  000.001  000.001: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
019.836  000.003  000.003: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
019.851  000.001  000.001: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
021.259  000.519  000.519: sourcing nvim_exec2() called at /usr/share/nvim/runtime/filetype.lua:0
021.289  000.719  000.200: sourcing /usr/share/nvim/runtime/filetype.lua
021.304  000.783  000.064: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
021.883  000.010  000.010: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
021.914  000.002  000.002: sourcing nvim_exec2() called at /home/collins/.config/nvim/init.lua:0
023.758  000.343  000.343: require('nvim-ts-autotag._log')
023.876  000.110  000.110: require('nvim-ts-autotag.config.init')
024.530  000.041  000.041: require('vim.treesitter.language')
024.566  000.030  000.030: require('vim.func')
024.643  000.073  000.073: require('vim.func._memoize')
024.735  000.336  000.192: require('vim.treesitter.query')
024.780  000.042  000.042: require('vim.treesitter._range')
024.826  000.552  000.174: require('vim.treesitter.languagetree')
024.833  000.714  000.162: require('vim.treesitter')
024.837  000.827  000.113: require('nvim-ts-autotag.utils')
024.840  000.886  000.059: require('nvim-ts-autotag.config.ft')
